id;category
0;milk
0;machine
0;strong
1;milk
1;machine
1;strong
2;milk
2;machine
2;strong
3;milk
3;sugar
4;milk
4;iced
4;strong
5;milk
5;iced
5;sugar
5;strong
6;milk
6;machine
6;strong
7;milk
7;machine
7;strong
8;milk
8;iced
8;strong
9;iced
9;sugar
10;milk
10;steamed_milk
10;strong
11;sugar
11;strong
12;iced
12;sugar
13;iced
14;iced
14;sugar
14;strong
15;milk
15;steamed_milk
15;strong
16;iced
16;sugar
16;strong
17;iced
17;sugar
17;strong
18;sugar
19;iced
19;cold_brew
20;milk
20;iced
21;milk
21;iced
21;strong
22;sugar
23;iced
